date,period_start,period_end,first_trade_date,last_trade_date,open,high,low,close,trading_days,is_partial,partial_reason,has_ohlc,source,history_kind
2002-06-07,2002-06-03,2002-06-09,2002-06-03,2002-06-07,1067.14,1070.74,1012.49,1027.53,5,False,,True,Yahoo Finance ^GSPC,正式推出後
2002-06-14,2002-06-10,2002-06-16,2002-06-10,2002-06-14,1027.53,1039.04,981.63,1007.27,5,False,,True,Yahoo Finance ^GSPC,正式推出後
2002-06-21,2002-06-17,2002-06-23,2002-06-17,2002-06-21,1007.27,1040.83,985.65,989.14,5,False,,True,Yahoo Finance ^GSPC,正式推出後
2002-06-28,2002-06-24,2002-06-30,2002-06-24,2002-06-28,989.14,1005.88,952.92,989.82,5,False,,True,Yahoo Finance ^GSPC,正式推出後
2002-07-05,2002-07-01,2002-07-07,2002-07-01,2002-07-05,989.82,994.46,934.87,989.03,4,False,,True,Yahoo Finance ^GSPC,正式推出後
2002-07-12,2002-07-08,2002-07-14,2002-07-08,2002-07-12,989.03,993.56,900.94,921.39,5,False,,True,Yahoo Finance ^GSPC,正式推出後
2002-07-19,2002-07-15,2002-07-21,2002-07-15,2002-07-19,921.39,926.52,842.07,847.75,5,False,,True,Yahoo Finance ^GSPC,正式推出後
2002-07-26,2002-07-22,2002-07-28,2002-07-22,2002-07-26,847.76,854.13,775.68,852.84,5,False,,True,Yahoo Finance ^GSPC,正式推出後
2002-08-02,2002-07-29,2002-08-04,2002-07-29,2002-08-02,852.84,911.64,852.84,864.24,5,False,,True,Yahoo Finance ^GSPC,正式推出後
2002-08-09,2002-08-05,2002-08-11,2002-08-05,2002-08-09,864.24,913.95,833.44,908.64,5,False,,True,Yahoo Finance ^GSPC,正式推出後
2002-08-16,2002-08-12,2002-08-18,2002-08-12,2002-08-16,908.64,935.38,876.20,928.77,5,False,,True,Yahoo Finance ^GSPC,正式推出後
2002-08-23,2002-08-19,2002-08-25,2002-08-19,2002-08-23,928.77,965.00,927.21,940.86,5,False,,True,Yahoo Finance ^GSPC,正式推出後
2002-08-30,2002-08-26,2002-09-01,2002-08-26,2002-08-30,940.86,955.82,903.33,916.07,5,False,,True,Yahoo Finance ^GSPC,正式推出後
2002-09-06,2002-09-02,2002-09-08,2002-09-03,2002-09-06,916.07,916.07,870.50,893.92,4,False,,True,Yahoo Finance ^GSPC,正式推出後
2002-09-13,2002-09-09,2002-09-15,2002-09-09,2002-09-13,893.92,924.02,877.05,889.81,5,False,,True,Yahoo Finance ^GSPC,正式推出後
2002-09-20,2002-09-16,2002-09-22,2002-09-16,2002-09-20,889.81,902.68,839.09,845.39,5,False,,True,Yahoo Finance ^GSPC,正式推出後
2002-09-27,2002-09-23,2002-09-29,2002-09-23,2002-09-27,845.39,856.60,817.38,827.37,5,False,,True,Yahoo Finance ^GSPC,正式推出後
2002-10-04,2002-09-30,2002-10-06,2002-09-30,2002-10-04,827.37,851.93,794.10,800.58,5,False,,True,Yahoo Finance ^GSPC,正式推出後
2002-10-11,2002-10-07,2002-10-13,2002-10-07,2002-10-11,800.58,843.27,768.63,835.32,5,False,,True,Yahoo Finance ^GSPC,正式推出後
2002-10-18,2002-10-14,2002-10-20,2002-10-14,2002-10-18,835.32,886.68,828.37,884.39,5,False,,True,Yahoo Finance ^GSPC,正式推出後
2002-10-25,2002-10-21,2002-10-27,2002-10-21,2002-10-25,884.39,902.94,873.06,897.65,5,False,,True,Yahoo Finance ^GSPC,正式推出後
2002-11-01,2002-10-28,2002-11-03,2002-10-28,2002-11-01,897.65,907.44,867.91,900.96,5,False,,True,Yahoo Finance ^GSPC,正式推出後
2002-11-08,2002-11-04,2002-11-10,2002-11-04,2002-11-08,900.96,925.66,891.62,894.74,5,False,,True,Yahoo Finance ^GSPC,正式推出後
2002-11-15,2002-11-11,2002-11-17,2002-11-11,2002-11-15,894.74,910.21,872.05,909.83,5,False,,True,Yahoo Finance ^GSPC,正式推出後
2002-11-22,2002-11-18,2002-11-24,2002-11-18,2002-11-22,909.83,937.28,893.09,930.55,5,False,,True,Yahoo Finance ^GSPC,正式推出後
